bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102121000246,中国工商银行石家庄建华支行,0311-85054887,50031,河北省石家庄市建华北大街21号,SWIFT CODE,河北
102121000254,中国工商银行石家庄石化支行,0311-85163455,50032,河北省石家庄市炼油厂第二生活区,SWIFT CODE,河北
102121000262,中国工商银行石家庄石正支行,0311-86831160,50041,河北省石家庄市四水厂路12号,SWIFT CODE,河北
102121000279,中国工商银行石家庄新华支行,0311-7886452,50051,河北省石家庄市新华路355号副1号,SWIFT CODE,河北
102121000287,中国工商银行石家庄建南支行,0311-85068640,50031,河北省石家庄市建华南大街161号,SWIFT CODE,河北
102121000295,中国工商银行赞皇支行,0311-84221459,51230,河北省赞皇县槐泉东路138号,SWIFT CODE,河北
102121000300,中国工商银行赵县支行,0311-84946209,51530,河北省赵县永通路82号,SWIFT CODE,河北
102121000318,中国工商银行辛集支行,0311-83222759,52360,河北省辛集市西华路南段1号,SWIFT CODE,河北
102121000326,中国工商银行高邑凤城支行,0311-84032120,51330,河北省高邑县凤中路314号,SWIFT CODE,河北
102121000334,中国工商银行石家庄光明支行,0311-83022214,50051,河北省石家庄市裕华西路475号,SWIFT CODE,河北
102121000342,中国工商银行行唐龙州支行,0311-82981626,50600,河北省行唐县龙州镇玉城大街23号,SWIFT CODE,河北
102121000359,中国工商银行深泽支行,0311-83522436,52560,河北省深泽县深泽镇建设大街东头,SWIFT CODE,河北
102121000367,中国工商银行无极支行,0311-85570735,52460,河北省无极县光明南街7号,SWIFT CODE,河北
102121000375,中国工商银行平山支行,0311-82911639,50400,河北省平山县建设北大街3号,SWIFT CODE,河北
102121000383,中国工商银行灵寿支行,0311-82524111,50500,河北省灵寿县人民东路2号,SWIFT CODE,河北
102121000391,中国工商银行晋州支行,0311-84322323,52260,河北省晋州市中兴街东6号,SWIFT CODE,河北
102121000406,中国工商银行石家庄胜利支行,0311-85827758,50021,河北省石家庄市体育南大街307号,SWIFT CODE,河北
102121000414,中国工商银行石家庄广安支行,0311-86676854,50011,河北省石家庄市西大街2号,SWIFT CODE,河北
102121000422,中国工商银行河北省分行计划财务部,0311-3034436,50051,石家庄市工农路366号,SWIFT CODE,河北
102121000439,中国工商银行河北省分行营业部财务会计部,0311-86026017,50021,河北省石家庄市平安南大街113号,SWIFT CODE,河北
102121000447,中国工商银行石家庄平安支行,0311-86017201,50021,河北省石家庄市平安南大街141号,SWIFT CODE,河北
102121000455,中国工商银行石家庄桥西支行新华分理处,0311-87012844,50000,河北省石家庄市新华路159号,SWIFT CODE,河北
102121000463,中国工商银行石家庄桥西支行世纪分理处,0311-87895174,50000,河北省石家庄市中山西路188号,SWIFT CODE,河北
102121000471,中国工商银行石家庄友谊支行,0311-83037743,50051,河北省石家庄市裕华西路与友谊南大街交叉口,SWIFT CODE,河北
102121000480,中国工商银行股份有限公司石家庄长安支行汇通分理处,0311-86129739,50011,河北省石家庄市建设南大街四药东门,SWIFT CODE,河北
102121000498,中国工商银行石家庄新苑支行,0311-87817884,50061,河北省石家庄市友谊北大街5号,SWIFT CODE,河北
102121000502,中国工商银行石家庄和东支行,0311-85052707,50031,河北省石家庄市和平东路508号,SWIFT CODE,河北
102121000519,中国工商银行石家庄红旗支行,0311-83824178,50091,河北省石家庄市红旗大街与新石南路交叉口,SWIFT CODE,河北
102121000527,中国工商银行石家庄天河支行,0311-86829564,50000,河北省石家庄市正定路102号,SWIFT CODE,河北
102121000535,中国工商银行石家庄泰华支行,0311-87059977-8605,50061,河北省石家庄市和平西路390号,SWIFT CODE,河北
102121000730,中国工商银行石家庄体育支行,0311-86045070,50011,河北省石家庄市体育大街8号副1号,SWIFT CODE,河北
102121000828,中国工商银行石家庄建大支行,0311-86046501,50011,河北省石家庄市和平中路155号,SWIFT CODE,河北
102121001040,中国工商银行石家庄西郊支行,0311-85202263,50081,河北省石家庄市中山西路486号,SWIFT CODE,河北
102121002219,中国工商银行股份有限公司藁城良村支行,0311-89699285,52165,河北省石家庄经济技术开发区创业路11号,SWIFT CODE,河北
102124002511,中国工商银行唐山分行核算中心,0315-2839888-8402,63000,河北省唐山市新华东道102号,--,河北
102124002520,中国工商银行唐山凤凰支行,0315-2718241,63000,河北省唐山市新华东道102号,--,河北
102124002538,中国工商银行唐山新华支行,0315-2821029,63000,河北省唐山市新华东道117号,--,河北
102124002595,中国工商银行唐山开滦支行,0315-2822429,63000,河北省唐山市路北区车站路169号,--,河北
102124002618,中国工商银行唐山西山支行,0315-2824819,63000,河北省唐山市西山道30号,--,河北
102124002626,中国工商银行唐山凤凰大厦支行,0315-2849248,63000,河北省唐山市新华东道102号,--,河北
102124002634,中国工商银行唐山农贸支行,0315-2826019,63000,河北省唐山市新华西道32号,--,河北
102124002714,中国工商银行唐山建北支行,0315-2042143,63000,河北省唐山市朝阳道,--,河北
102124002763,中国工商银行唐山供电支行,0315-2032819,63000,河北省唐山市建设北路9号,--,河北
102124002802,中国工商银行唐山胜利支行,0315-2863804,63000,河北省唐山市胜利路67号,--,河北
102124002827,中国工商银行股份有限公司唐山鹭港支行,0315-2390093,63000,河北省唐山市鹭港小区第十七区商业楼一层,--,河北
102124002894,中国工商银行唐山福乐园支行,0315-2236902,63000,河北省唐山市路南区南新西道53号,--,河北
102124002909,中国工商银行唐山西缸窑支行,0315-3271319,63020,河北省唐山市路北区西窑道5号,--,河北
102124002925,中国工商银行股份有限公司唐山西缸窑支行会展分理处,0315-3205279,63020,河北省唐山市高新技术开发区龙富南道223号,--,河北
102124003008,中国工商银行唐山开平支行,0315-3362609,63021,河北省唐山市开平区新苑路71号,--,河北
102124003016,中国工商银行唐山荆各庄支行,0315-3264269,63022,河北省唐山市开平区荆各庄矿工房区,--,河北
102124003081,中国工商银行唐山古冶支行,0315-3561739,63103,河北省唐山市古冶区新林道,--,河北
102124003090,中国工商银行唐山赵各庄支行,0315-3502409,63100,河北省唐山市古冶区赵各庄农贸市场北,--,河北
102124003112,中国工商银行唐山古榛支行,0315-3511219,63100,河北省唐山市古冶区古榛路南段,--,河北
102124003129,中国工商银行唐山唐家庄支行,0315-3251054,63100,河北省唐山市古冶区震兴道,--,河北
102124003137,中国工商银行唐山南范各庄支行,0315-3551409,63108,河北省唐山市古冶区南范各庄东工房,--,河北
102124003145,中国工商银行唐山吕家坨支行,0315-3591509,63106,河北省唐山市古冶区吕家坨矿东门外,--,河北
102124003161,中国工商银行股份有限公司唐山新兴支行,0315-3252729,63100,河北省唐山市古冶区唐家庄新兴路,--,河北
102124003231,中国工商银行唐山唐钢支行,0315-3719019,63002,河北省唐山市钢厂道8号,--,河北
102124003282,中国工商银行唐山车站支行,0315-2312447,63004,河北省唐山市新华西道128号,--,河北
102124003299,中国工商银行股份有限公司唐山帝景支行,0315-2232478,63004,河北省唐山市兴源道帝景主入口东侧商业楼1号,--,河北
102124003311,中国工商银行唐山赵庄支行,0315-7215626,63000,河北省唐山市路北区新华西道90号,--,河北
102124003338,中国工商银行股份有限公司唐山站前支行,0315-7211206,63004,河北省唐山市站前路天德宾馆1层,--,河北
102124003354,中国工商银行唐山海港支行,0315-2914089,63611,河北省唐山市海港开发区,--,河北
102124003362,中国工商银行唐山南堡支行,0315-8515117,63305,河北省唐山市南堡开发区,--,河北
102124003426,中国工商银行唐山丰润支行,0315-3080706,63030,河北省唐山市丰润区林荫东路15号,--,河北
102124003434,中国工商银行唐山红星支行,0315-5122517,63030,河北省唐山市丰润区曹雪芹西大街,--,河北
102124003442,中国工商银行唐山金利支行,0315-3080709,63030,河北省唐山市丰润区曹雪芹大街,--,河北
102124003459,中国工商银行唐山新城支行,0315-3080719,64000,河北省唐山市丰润区5号小区（万隆商贸城内）,--,河北
102124003571,中国工商银行唐山丰南支行,0315-8122920,63300,河北省唐山市丰南区文化路59号,--,河北
102124003627,中国工商银行唐山汉沽支行,022-69214536,301501,河北省唐山市汉沽管理区光明路36号,--,河北
102124003635,中国工商银行唐山天元支行,0315-2357500,63000,河北省唐山市兴源道天元大厦一层,--,河北
102124088888,中国工商银行唐山分行计划财务部,0315-2839888-8609,63000,河北省唐山市新华东道102号,--,河北
102124303778,中国工商银行滦县支行,0315-7123909,63700,河北省滦县新城燕山大街友谊1号,--,河北
102124303794,中国工商银行滦县城关镇办事处,0315-7312134,63700,河北省滦县新站解放街60号,--,河北
102124403834,中国工商银行滦南支行,0315-4122013,63500,河北省滦南县奔城南大街56号,--,河北
102124503803,中国工商银行唐山海港支行,0315-2914089,63611,河北省唐山海港开发区,--,河北
102124503895,中国工商银行乐亭支行,0315-4625483,63600,河北省乐亭县金融街12号,--,河北
102124504121,中国工商银行唐山京唐港支行,0315-2911090,63611,河北省唐山市海港开发区京唐港股份有限公司综合办公楼一层,--,河北
102124603641,中国工商银行迁安支行,0315-7613626,64400,河北省迁安市兴安大街816号,--,河北
102124603836,中国工商银行迁安燕山支行,0315-7936960,64400,河北省迁安市鸿舟商厦一楼,--,河北
102124703714,中国工商银行迁西支行,0315-5612590,64300,河北省迁西县城关景忠东街,--,河北
102124703894,中国工商银行迁西洒河桥支行,0315-5862099,64303,河北省迁西县洒河桥镇中心广场西侧,--,河北
102124803943,中国工商银行股份有限公司唐山遵化城关支行,0315-6613610,64200,河北省唐山遵化市通华街1号,--,河北
102124803951,中国工商银行遵化支行,0315-6613098,64200,河北省遵化市通华街,--,河北
102124803960,中国工商银行股份有限公司唐山遵化建设支行,0315-6614019,64200,河北省唐山遵化市建设路,--,河北
102124803978,中国工商银行股份有限公司唐山遵化河东支行,0315-6620797,64200,河北省唐山遵化市镇海东街,--,河北
102124803994,中国工商银行股份有限公司唐山遵化北关支行,0315-6614007,64200,河北省唐山遵化市燕山一集,--,河北
102124904034,中国工商银行玉田支行,0315-6113695,64100,河北省玉田县东城路26号,--,河北
102124904042,中国工商银行玉田林南仓支行,0315-6577399,64106,河北省玉田县林南仓煤矿院内,--,河北
102124904075,中国工商银行玉田昌盛支行,0315-6112270,64100,河北省唐山市玉田县幸福小区东门市3-4号,--,河北
102125103394,中国工商银行唐海支行,0315-8723397,63200,河北省唐海县城垦丰大街42号,--,河北
102125104151,中国工商银行唐山曹妃甸港区支行,0315-8721920,63200,唐山曹妃甸实业开发有限责任公司综合办公楼二楼,--,河北
102126004519,中国工商银行秦皇岛滨海支行,0335-3049264,66000,河北省秦皇岛市海港区河北大街129号,SWIFT CODE,河北
102126004527,中国工商银行秦皇岛上秦支行,0335-3298358,66000,河北省秦皇岛市海港区建设大街286-1号,SWIFT CODE,河北
102126004543,中国工商银行股份有限公司秦皇岛欧雅支行,0335-3298598,66000,河北省秦皇岛市海港区河北大街中段34号,SWIFT CODE,河北
102126004560,中国工商银行秦皇岛港兴支行,0335-3096092,66000,河北省秦皇岛市海港区建设大街东段9号,SWIFT CODE,河北
102126004594,中国工商银行秦皇岛海港支行,0335-3423447,66000,河北省秦皇岛市海港区海滨路29号,SWIFT CODE,河北
102126004633,中国工商银行秦皇岛光明支行,0335-3298528,66000,河北省秦皇岛市海港区光明路秦港职中对面,SWIFT CODE,河北
102126004650,中国工商银行秦皇岛迎宾支行,0335-3065264,66001,河北省秦皇岛市海港区迎宾路154号,SWIFT CODE,河北
102126004668,中国工商银行秦皇岛港城支行,0335-3298765,66000,河北省秦皇岛市海港区港城大街222号,SWIFT CODE,河北
102126004692,中国工商银行秦皇岛河东支行,0335-3219214,66001,河北省秦皇岛市海港区建设大街352号,SWIFT CODE,河北
102126004705,中国工商银行股份有限公司秦皇岛热电支行,0335-3298365,66000,河北省秦皇岛市海港区东港路北段,SWIFT CODE,河北
102126004748,中国工商银行秦皇岛西港支行,0335-3865943,66004,河北省秦皇岛市海港区西港路208号,SWIFT CODE,河北
102126004756,中国工商银行股份有限公司秦皇岛海阳支行,0335-3298506,66000,河北省秦皇岛市海港区海阳路244号,SWIFT CODE,河北
102126004772,中国工商银行秦皇岛北站支行,0335-3298898,66000,河北省秦皇岛市海港区建设大街88号,SWIFT CODE,河北
102126004801,中国工商银行秦皇岛开发区支行,0335-8051659,66004,河北省秦皇岛市经济技术开发区天台山路7号,SWIFT CODE,河北
102126004810,中国工商银行秦皇岛桥东支行,0335-3298628,66000,河北省秦皇岛市海港区河北大街西段399号,SWIFT CODE,河北
102126004836,中国工商银行股份有限公司秦皇岛峨嵋支行,0335-3298266,66000,河北省秦皇岛市开发区峨嵋山南路5号,SWIFT CODE,河北
102126004852,中国工商银行秦皇岛秦山支行,0335-3102647,66003,河北省秦皇岛市海港区北环路91号,SWIFT CODE,河北
102126004885,中国工商银行秦皇岛文化支行,0335-3066682,66000,秦皇岛市海港区文化路423号,SWIFT CODE,河北
102126004908,中国工商银行秦皇岛人民支行,0335-3290371,66000,河北省秦皇岛市海港区建设大街136号,SWIFT CODE,河北
102126004916,中国工商银行秦皇岛山海关支行,0335-5051632,66100,河北省秦皇岛市山海关南海西路15号,SWIFT CODE,河北
102126004932,中国工商银行股份有限公司秦皇岛龙海支行,0335-5161360,66200,河北省秦皇岛市山海关区南海西路44-1号,SWIFT CODE,河北
102126004957,中国工商银行股份有限公司秦皇岛古城支行,0335-5052308,66200,河北省秦皇岛市山海关区古城南大街11-6号,SWIFT CODE,河北
102126004981,中国工商银行秦皇岛北戴河支行,0335-4041105,66100,河北省秦皇岛市北戴河区联峰路97号,SWIFT CODE,河北
102126004990,中国工商银行秦皇岛海宁支行,0335-4030106,66100,河北省秦皇岛市北戴河区联峰路4号,SWIFT CODE,河北
102126005015,中国工商银行秦皇岛西山支行,0335-4188038,66100,河北省秦皇岛市北戴河区北五路44号,SWIFT CODE,河北
102126005023,中国工商银行秦皇岛东区支行,0335-5083506,66206,河北省秦皇岛市山海关开发区,SWIFT CODE,河北
102126005040,中国工商银行秦皇岛金新支行,0335-3890011,66002,河北省秦皇岛市海港区文化路296号,SWIFT CODE,河北
102126005058,中国工商银行秦皇岛燕山支行,0335-3867509,66001,河北省秦皇岛市海港区建国路241号,SWIFT CODE,河北
102126005066,中国工商银行秦皇岛太阳城支行,0335-3031246,66000,河北省秦皇岛市海港区民族南路广缘超市一楼,SWIFT CODE,河北
102126005082,中国工商银行秦皇岛燕大支行,0335-8074671,66004,河北省秦皇岛市燕山大学研究生楼109室,SWIFT CODE,河北
102126005099,中国工商银行秦皇岛西岭支行,0335-8060078,66004,河北省秦皇岛市海港区河北大街西段322号,SWIFT CODE,河北
102126005103,中国工商银行秦皇岛东港支行,0335-3013686,66000,河北省秦皇岛市海港区河北大街东段117号,SWIFT CODE,河北
102126005111,中国工商银行秦皇岛华运支行,0335-3619254,66004,河北省秦皇岛市海港区先富里17-7号,SWIFT CODE,河北
102126005120,中国工商银行秦皇岛市黄河支行,0335-8388802,66000,河北省秦皇岛市开发区中道,SWIFT CODE,河北
102126005200,中国工商银行股份有限公司秦皇岛南戴河支行,0335-4050414,66311,河北省抚宁县南戴河旅游开发区宁海道14号,SWIFT CODE,河北
102126006000,中国工商银行秦皇岛业务处理中心,0335-3050324,66000,河北省秦皇岛市海港区河北大街129号,SWIFT CODE,河北
102126088881,中国工商银行秦皇岛计划财务部,0335-3031890,66000,河北省秦皇岛市海港区河北大街129号,SWIFT CODE,河北
102126105129,中国工商银行青龙支行,0335-7862818,66500,河北省青龙县青龙镇燕山路212号,SWIFT CODE,河北
102126205149,中国工商银行昌黎支行,0335-2023486,66600,河北省秦皇岛市昌黎县昌黎镇二街西北楼,SWIFT CODE,河北
102126305180,中国工商银行抚宁支行,0335-6011439,66300,河北省秦皇岛市抚宁县抚宁镇北街,SWIFT CODE,河北
102126305202,中国工商银行抚宁南戴河支行,0335-4050414,66311,河北省秦皇岛市抚宁县南戴河宁海道40号,SWIFT CODE,河北
102127006012,中国工商银行邯郸业务处理中心,0310-3071214,56002,河北省邯郸市人民东路248号,--,河北
102127006029,中国工商银行邯郸车站支行,0310-3049583,56001,河北省邯郸市陵园路39号,--,河北
102127006131,中国工商银行邯郸和平支行,0310-3087764,56001,河北省邯郸市光明北大街5号,--,河北
102127006199,中国工商银行股份有限公司河北省邯郸欣甸支行,0310-3198601,56002,河北省邯郸市滏东大街187号,--,河北
102127006279,中国工商银行邯郸中华支行,0310-3172640,56004,河北省邯郸市中华北大街386号,--,河北
102127006334,中国工商银行股份有限公司邯郸丛西支行,0310-3279306,56002,河北省邯郸市丛台路甲31号,--,河北
102127006383,中国工商银行邯郸中华支行热电厂分理处,0310-7023607,56004,河北省邯郸市电厂路30号,--,河北
102127006406,中国工商银行邯郸邯钢支行,0310-3291793,56003,河北省邯郸市邯钢东路9号,--,河北
102127006447,中国工商银行邯郸邯宝支行,0310-6070354,56015,河北省邯郸市复兴路232号,--,河北
102127006498,中国工商银行邯郸钢城支行,0310-4051307,56015,河北省邯郸市邯钢厂区内经营大楼(复兴路232号),--,河北
102127006502,中国工商银行股份有限公司邯郸罗城头支行,0310-6020204,56001,河北省邯郸市中华南4号小区中华路西侧新建楼1号,--,河北
102127006551,中国工商银行邯郸人民支行,0310-4042410,56003,河北省邯郸市人民西路48号,--,河北
102127006617,中国工商银行邯郸向阳支行,0310-3129213,56002,河北省邯郸市向阳路2号,--,河北
102127006676,中国工商银行邯郸马头支行,0310-6011744,56046,河北省邯郸市邯山区马头镇中大街6号,--,河北
102127006713,中国工商银行邯郸峰峰支行,0310-5015480,56200,河北省邯郸市峰峰矿区滏阳东路8号,--,河北
102127007355,中国工商银行邯郸太安支行,0310-5030426,56201,河北省邯郸市峰峰矿区峰钢路18号,--,河北
102127007443,中国工商银行邯郸彭城支行,0310-5022557,56200,河北省邯郸市峰峰矿区彭城镇彭新中路19号,--,河北
102127007533,中国工商银行邯郸丛台支行,0310-7101823,56002,河北省邯郸市丛台路388号仁达锦苑小区A楼,--,河北
102127007568,中国工商银行邯郸新国际支行,0310-3071106,56002,河北省邯郸市人民东路248号,--,河北
102127080053,中国工商银行邯郸高开支行,0310-8067556,56107,邯郸市高新技术开发区龙光建业园一楼北段,--,河北
102127088880,中国工商银行邯郸计划财务部,0310-3071553,56002,河北省邯郸市人民东路248号,--,河北
102127106963,中国工商银行邯郸城东支行,0310-8029827,56001,河北省邯郸市雪驰路11号,--,河北
102128107163,中国工商银行大名支行,0310-6567002,56900,河北省大名县大名镇万大路1号,--,河北
102128207196,中国工商银行魏县支行,0310-3521425,56800,河北省邯郸市魏县政府东街13号,--,河北
102128307077,中国工商银行曲周支行,0310-8896761,57250,河北省曲周县曲周镇振兴路,--,河北
102128707102,中国工商银行广平支行,0310-2521488,57650,河北省广平县广平镇东城路中段西侧,--,河北
102128807234,中国工商银行成安支行,0310-7218364,56700,河北省成安县青云路,--,河北
102128907257,中国工商银行临漳支行,0310-7866501,56600,河北省临漳县建安东路31号,--,河北
102129107270,中国工商银行磁县支行,0310-2336597,56500,河北省邯郸市磁县朝阳北大街30号,--,河北
102129206805,中国工商银行邯郸天津铁厂支行,0310-3972444,56404,河北省涉县更乐镇,--,河北
102129207302,中国工商银行涉县支行,0310-3832403,56400,河北省邯郸市涉县城西街291号,--,河北
102129307045,中国工商银行永年支行,0310-6860265,57150,河北省永年县临名关镇政府街5号,--,河北
102129307053,中国工商银行股份有限公司永年融兴支行,0310-6607661,57250,河北省邯郸市永年县临名关镇迎宾东大街3号,--,河北
102129307061,中国工商银行永年河北铺支行,0310-6860336,57150,河北省永年县临名关镇河北铺标准件商城,--,河北
102129407125,中国工商银行馆陶支行,0310-2823950,57750,河北省馆陶县陶山西街2号,--,河北
102129506888,中国工商银行武安支行,0310-5688009,56300,河北省武安市中兴西路165号,--,河北
102129507573,中国工商银行邯郸新兴支行,0310-5790620,56308,河北省武安市新兴铸管厂区内上海路东头路北,--,河北
102131008019,中国工商银行邢台业务处理中心,0319-2130259,54000,河北省邢台市郭守敬大街285号,--,河北
102131008561,中国工商银行邢台开元支行,0319-3086300,54001,河北省邢台市邢州北路191号,--,河北
102131008588,中国工商银行邢台清风楼支行,0319-3086373,54001,河北省邢台市府前东街,--,河北
102131008596,中国工商银行邢台豫新支行,0319-3216024,54001,河北省邢台市刑州北路,--,河北
102131008631,中国工商银行邢台新华支行,0319-3178425,54001,河北省邢台市新华南路280号,--,河北
102131008640,中国工商银行邢台章村支行,0319-8610880,54108,河北省邢台市章村煤矿生活区,--,河北
102131008682,中国工商银行邢台兴华支行,0319-2023042,54000,河北省邢台市中兴西大街时代广场,--,河北
102131008720,中国工商银行邢台中华支行,0319-2218751,54000,河北省邢台市中华东大街公园路南头,--,河北
102131008738,中国工商银行邢台花园支行,0319-2182962,54000,河北省邢台市桥西区达活泉公园东门,--,河北
102131008754,中国工商银行邢台桥东支行,0319-3860643,54001,河北省邢台市中兴东大街220号,--,河北
102131008779,中国工商银行邢台青园支行,0319-2209330,54000,河北省邢台市公园东街青青家园小区正门南侧,--,河北
102131008826,中国工商银行邢台金华支行,0319-2209580,54000,河北省邢台市冶金北路332号,--,河北
102131008842,中国工商银行邢台冶金支行,0319-2664061,54000,河北省邢台市冶金南路128号,--,河北
102131008859,中国工商银行邢台团结支行,0319-2130024,54000,河北省邢台市团结西大街107号,--,河北
102131008875,中国工商银行邢台邢钢支行,0319-2209561,54000,河北省邢台市钢铁南路264号,--,河北
102131008891,中国工商银行邢台五星支行,0319-2209565,54000,河北省邢台市桥西区冶金南路63号,--,河北
102131008914,中国工商银行邢台冶金支行泉南分理处,0319-2209090,54000,河北省邢台市桥西区郭守敬北路287号,--,河北
102131008939,中国工商银行邢台新光支行,0319-2209563,54000,河北省邢台市桥西区邢钢东生活区,--,河北
102131008947,中国工商银行邢台鸿溪支行,0319-2209564,54000,河北省邢台市桥西区冶金北路788号鸿溪书香园小区正门临街门市,--,河北
102131008963,中国工商银行邢台邢州支行,0319-3036024,54001,河北省邢台市邢州南路1号,--,河北
102131009030,中国工商银行邢台顺德支行,0319-3688537,54000,河北省邢台市顺德路279号,--,河北
102131009056,中国工商银行邢台泉北支行,0319-2587129,54000,河北省邢台市桥西区泉北大街嘉园银苑11号楼,--,河北
102131009064,中国工商银行邢台豫让桥支行,0319-3892669,54001,河北省邢台市桥东区泉南东大街127号,--,河北
102131009072,中国工商银行邢台桥西支行,0319-2021532,54000,河北省邢台市冶金北路5号,--,河北
102131009110,中国工商银行邢台钢北支行,0319-5906535,54000,河北省邢台市钢铁北路53号,--,河北
102131009128,中国工商银行邢台胜利支行,0319-5906591,54000,河北省邢台市桥西区八一西大街108号,--,河北
102131009144,中国工商银行邢台万城支行,0319-5606592,54000,河北省邢台市桥西区中华路维也纳花园东邻路南,--,河北
102131009152,中国工商银行邢台运河支行,0319-2632154,54000,河北省邢台市桥西区中兴西大街274号,--,河北
102131009169,中国工商银行邢台电厂支行,0319-2095980,54000,河北省邢台市南郊光华路电厂俱乐部东邻,--,河北
102131009193,中国工商银行邢台太行支行,0319-2622901,54000,河北省邢台市桥西区中兴西大街457号,--,河北
102131009208,中国工商银行邢台中兴支行,0319-2161828,54000,河北省邢台市郭守敬北路1号,--,河北
102131009216,中国工商银行邢台守敬支行,0319-2161826,54000,河北省邢台市郭守敬北路市财政局对过,--,河北
102131009224,中国工商银行邢台名仕支行,0319-5908953,54000,河北省邢台市桥西区中华大街266-16号,--,河北
102131088884,中国工商银行邢台计划财务部,0319-2134284,54000,河北省邢台市郭守敬大街285号,--,河北
102132108127,中国工商银行南宫支行,0319-5221621,55750,河北省南宫市青年大街141号,--,河北
102132208402,中国工商银行邢台沙河支行,0319-8921938,54100,河北省沙河市建设路,--,河北
102132308312,中国工商银行临城支行,0319-7163170,54300,河北省临城县兴临街,--,河北
102132408365,中国工商银行股份有限公司内丘支行,0319-6868503,54200,河北省内丘县城胜利路88号,--,河北
102132608266,中国工商银行隆尧支行,0319-6681640,55350,河北省隆尧县柴荣南街,--,河北
102132709045,中国工商银行任县新兴支行,0319-7512656,55150,河北省邢台市任县新兴东路东方花园路口,--,河北
102132809232,中国工商银行股份有限公司南和支行,0319-4667539,54400,河北省邢台市南和县建设大街与开元路交叉口西北角,--,河北
102132908191,中国工商银行宁晋支行,0319-5804158,55550,河北省宁晋县迎宾街3号,--,河北
102133108162,中国工商银行巨鹿支行,0319-4327013,55250,河北省巨鹿县新华街5号,--,河北
102133208249,中国工商银行新河支行,0319-4782592,55650,河北省新河县新华路228号,--,河北
102133308092,中国工商银行广宗支行,0319-7212363,54600,河北省广宗县兴广路21号,--,河北
102133408075,中国工商银行平乡支行,0319-7862868,54500,河北省平乡县丰州镇中华路,--,河北
102133508024,中国工商银行威县支行,0319-6150982,54700,河北省威县顺城路,--,河北
102133608479,中国工商银行清河支行,0319-8182454,54800,河北省清河县武松中街54号,--,河北
102133608487,中国工商银行邢台清河支行车站分理处,0319-8181261,54800,河北省清河县商贸城,--,河北
102133708537,中国工商银行临西支行,0319-8562240,54900,河北省临西县城玉兰西路,--,河北
102134009514,中国工商银行保定业务处理中心,0312-3013752,71000,河北省保定市东风中路1902号,SWIFT CODE,河北
102134009522,中国工商银行保定古城支行,0312-2023976,71000,河北省保定市东风中路392号,SWIFT CODE,河北
